FileName_original,Row0,Row1,Row2,Row3,Row4,Row5,Row6
7-05-2020 Plates 1-2 0.1 mM Manganese Day 2_top_left.tif,0.0,80859,64697,69268,64733,60829,58400
7-05-2020 Plates 1-2 0.1 mM Manganese Day 2_top_right.tif,0.0,81688,68585,76242,70475,64289,62240
7-05-2020 Plates 1-2 0.25 mM Cobalt Day 2_top_left.tif,0.0,78003,68314,69006,67458,60941,58329
7-05-2020 Plates 1-2 0.25 mM Cobalt Day 2_top_right.tif,0.0,66192,58574,61986,59578,52988,51251
7-05-2020 Plates 1-2 0.25 mM Zinc Day 2_top_left.tif,0.0,75536,60169,70036,62583,60066,53813
7-05-2020 Plates 1-2 0.25 mM Zinc Day 2_top_right.tif,0.0,77955,67554,73118,67936,64895,59393
7-05-2020 Plates 1-2 0.5 mM Cobalt Day 2_top_left.tif,0.0,77224,63756,63024,66980,59391,51679
7-05-2020 Plates 1-2 0.5 mM Cobalt Day 2_top_right.tif,0.0,65123,57849,49327,57686,48705,39992
7-05-2020 Plates 1-2 1 mM Cobalt Day 2_top_left.tif,0.0,50837,42399,22127,45679,33431,24365
7-05-2020 Plates 1-2 1 mM Cobalt Day 2_top_right.tif,0.0,65489,43284,19605,48219,31692,20993
7-05-2020 Plates 1-2 10 mM Magnesium Day 2_top_left.tif,0.0,72707,61227,68534,66372,58117,54722
7-05-2020 Plates 1-2 10 mM Magnesium Day 2_top_right.tif,0.0,81189,67681,68367,66056,63380,60382
7-05-2020 Plates 1-2 2 mM Magnesium Day 2_top_left.tif,0.0,78429,60193,57489,51254,55465,50840
7-05-2020 Plates 1-2 2 mM Magnesium Day 2_top_right.tif,0.0,70046,59351,67885,64012,57527,53060
7-05-2020 Plates 1-2 2.5 mM Manganese Day 2_top_left.tif,0.0,75073,59951,56856,67294,53050,52122
7-05-2020 Plates 1-2 2.5 mM Manganese Day 2_top_right.tif,0.0,69896,60335,52386,62291,56177,49918
7-05-2020 Plates 1-2 3 mM Manganese Day 2_top_left.tif,0.0,71158,59939,43673,64148,57368,47265
7-05-2020 Plates 1-2 3 mM Manganese Day 2_top_right.tif,0.0,80631,67172,48563,68116,58265,48915
7-05-2020 Plates 1-2 5 mM Magnesium Day 2_top_left.tif,0.0,73198,64449,66926,56521,56897,54483
7-05-2020 Plates 1-2 5 mM Magnesium Day 2_top_right.tif,0.0,72698,62190,72461,69601,60607,56237
7-05-2020 Plates 1-2 5 mM Zinc Day 2_top_left.tif,0.0,71331,55608,54941,61438,57056,41181
7-05-2020 Plates 1-2 5 mM Zinc Day 2_top_right.tif,0.0,69331,51133,49963,51341,44780,35070
7-05-2020 Plates 1-2 7.5 mM Zinc Day 2_top_left.tif,0.0,60833,49579,49638,51739,40588,29670
7-05-2020 Plates 1-2 7.5 mM Zinc Day 2_top_right.tif,0.0,63423,52023,48939,54213,44112,29996
7-05-2020 Plates 1-2 leu- Day 2_top_left.tif,0.0,84430,69680,72995,69328,65854,62586
7-05-2020 Plates 1-2 leu- Day 2_top_right.tif,0.0,79271,69115,70467,64384,63379,65380
