ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_NaturalSpots
1,1,16992,91.0,107.0,1.0,1.0030146330897651,0.3712581419122771,1.0,0.7706122448979592,0.8777970938033279,152.38070630346658,151.85519418182574,70.178344238091,24.463268190978983,21.540659228538015,140.99221762162708,141.49001054820712,55.6458180415078,493.2079999999984,0.9857577955039886,0,1,0,0,0,0,0,92.56291195856873,109.28407485875707,1,1
1,2,14717,310.0,115.0,1.0,1.0025913535681121,0.35337079653490155,1.0,0.772829911253479,0.8807307533828967,141.2994566070887,141.35416513141735,65.21502894272147,22.814153173114054,20.024984394500787,131.08781358268388,132.18328766277517,53.67773489126421,458.23999999999864,0.984875861607442,0,1,0,0,0,0,0,310.85656044030713,114.85017326900864,2,2
1,3,14469,524.0,119.0,1.0,1.0021070169518589,0.32364417444553184,1.0,0.7543009071004066,0.8518599288474022,139.325207785523,140.089257261219,65.05382386916237,22.5158893181514,19.79898987322333,130.98060311437197,131.82656724631437,51.02469301304621,461.99799999999874,0.9820477143923712,0,1,0,0,0,0,0,524.5277489805792,119.8988181629691,3,3
1,4,14286,740.0,127.0,1.0,1.0029836639589444,0.33548339326835624,1.0,0.7611892583120204,0.8593278286225924,138.78846176619075,140.80127840328723,63.15853069855251,21.984283910038968,19.313207915827967,130.15541006516315,130.74513195431788,57.65303174367803,457.0679999999986,0.9766869487933273,0,1,0,0,0,0,0,739.2370852582949,125.85244295114097,4,4
1,5,12224,959.0,150.0,1.0,1.0663857993599941,0.32886942809806474,0.0,0.6811166211623112,0.4127144069401721,132.22843173486802,140.9432509913121,35.17101079013795,11.993021392168131,11.180339887498949,127.71616615817763,124.87327833062548,82.42287152875987,610.0799999999979,0.8695404751742781,0,1,0,0,0,0,0,953.7259489528795,129.984375,5,5
1,6,8171,1197.0,140.0,1.0,1.3329901102056667,0.6318169334035665,0.0,0.4768323996265173,0.23977787759834432,131.4052735614272,144.12841496387864,18.384776310850235,7.2705851561319506,7.0,106.06601717798213,101.85454610503626,66.63330646100154,654.3919999999978,0.75090750356109,0,1,0,0,0,0,0,1167.6426385999266,136.91690123607881,6,6
1,7,15063,90.0,322.0,1.0,1.0037258855536924,0.38736747415713546,1.0,0.7740493319630011,0.8782865357347559,144.00064804326053,144.04513181638595,65.76473218982953,23.02180655071762,20.248456731316587,131.50102468880016,132.75785479762624,45.573636765653426,464.23999999999864,0.984445461080975,0,0,1,0,0,0,0,91.76764256788157,324.0471353648012,7,7
1,8,13655,307.0,330.0,1.0,1.002120646275107,0.3382712633036829,1.0,0.7719923111714156,0.8769709633690459,135.70013839087923,135.69450983735487,63.15853069855251,21.989362343836664,19.235384061671343,126.74899483746485,127.70043137106092,54.45287156206698,442.34199999999873,0.9845699041026748,0,0,1,0,0,0,0,308.3855730501648,332.0625411937019,8,8
1,9,13019,520.0,334.0,1.0,1.0023642215366755,0.3384519050157139,1.0,0.7703550295857988,0.8691450702270045,132.52494052079618,133.98880550254935,61.85466837676846,21.37511015179767,18.867962264113206,124.0,124.70380776977021,48.338297171159724,433.8579999999988,0.9815289505428226,0,0,1,0,0,0,0,521.2623857439128,335.7107304708503,9,9
1,10,12339,745.0,335.0,1.0,1.0099254435768394,0.3338858309036988,0.0,0.7711875,0.6470824097560199,129.4001780345689,132.25732493892352,50.0,17.625920344675812,15.0,122.88142282234558,121.9743575690194,62.11530260994209,489.5139999999987,0.9609438884778627,0,0,1,0,0,0,0,735.7337709700948,339.8447199935165,10,10
